name,description,Location,Founder,Year founded,Active Status,Industries,Portfolio Size,Investment Stage,Contact Email,Website,LinkedIn,Number of Investments,Phone Number,Number of Exits,Facebook,x
Kickstart Bahrain,"Kickstart Bahrain sets itself apart with a flexible, hybrid programme that caters to founders wherever they are—even those running things virtually from abroad. Ten weeks, focused tracks in EdTech, FinTech, and general tech, and a practical “learn by doing” approach mean you get far more than just Powerpoints and old-school lectures. Weekly live sessions, plus self-paced modules, cap off with a pitch to investors and some proper support—workspace, company setup, and post-programme help included. What really impresses is that it’s totally free, lowering the barrier for early-stage startups who might otherwise miss out. Regardless of where you’re based, if your idea fits their sector pick for the next cohort, you’re in with a shot. Commitment, not connections, does the talking.","Office 209, Building 60, Road 1701, Block 317, Manama Diplomatic Area, Bahrain",Wassim Elsayegh,2018,active,"EdTech, FinTech, General Technology",,Early-stage startups,info@kickstart.bh,https://kickstart.bh/,https://il.linkedin.com/company/kickstartbahrain,,+973 6637 0888,,,
The Collective Hub,"More than just hot desks and high-speed Wi-Fi, The Collective Hub packs a punch as Bahrain’s biggest workspace community—and a solid launchpad for founders across all stages. With three branches dotted around Manama (Adliya, Bahrain Bay, Yateem Centre), they back up their offering with real partnerships (think Tenmou for angel connections, and mentoring series with both local and international names). It’s a bit of a melting pot: you’ll bump into everyone from seasoned investors to fledgling founders finding their feet. What sets it apart is the no-nonsense approach to mentorship and their focus on actual community, not just logos for the website. If you prefer an environment where swapping ideas over a brew is encouraged, this is where you’ll want to plot your next raise.","Branches in Adliya, Bahrain Bay, and Yateem Centre, Manama, Bahrain","Powered by Tenmou, Bahrain's first Business Angels Company",2019,Active,"Various (Startups, creatives, investors)",,,info@tenmou.me,https://www.collectivehub.co/,https://www.linkedin.com/company/the-collective-hub-bh,,+973 39909449,,,
Afkar Incubator,"For those with a bright idea but no team yet, Afkar Incubator offers a starting point. The programme takes aim at hopeful entrepreneurs looking for cofounders, providing an entry ramp for anyone ready to start something in Tunisia—no particular sector boundaries here, just raw ambition needed. Details on funding or sector focus aren’t heavily publicised, but it’s open to fresh talent.",Tunisia,Houssem Aoudi,2015,Active,"Social Innovation, Entrepreneurship",Over 200 projects supported,ideation-stage incubator,,https://afkar.co/,https://www.linkedin.com/company/afkarincubator,,,,,
Connect'Innov,"Connect'Innov is where Tunisian HealthTech startups with early ideas or small teams can find their footing. If you’ve got a plan to shake up healthcare tech and a concept to show, the door’s open. It’s one of the few incubators in Tunisia truly locked onto HealthTech, offering structure when your business model is still half-scribbled on a napkin.","Rue Lac Victoria, Tunis 1053, Tunisia",Wafa Bchir and Hichem Radoine,2020,Active,"HealthTech, E-Health, MedTech, BioTech",,ideation-stage incubator,contact@connect-innov.com.,https://www.connect-innov.com/,https://tn.linkedin.com/company/connectinnov,,,,,
Factory 619,"Factory 619 is tuned for founders exploring e-health, gaming, blockchain and digital transformation. Even if your startup is just at the idea stage, as long as you’ve identified a pain point to solve, you’re in the right place. It’s a good shout for solo founders hoping to match up with likeminded teammates and build out their pitch deck ready for that first VC funding conversation.",Tunisia,,,Active,"E-Health, Gaming, Blockchain & Digital Transformation",7 startups founded/co-built,ideation-stage incubator,,https://factory619.com/,https://www.linkedin.com/company/factory619?originalSubdomain=tn,,,,,
Flat6Labs - Tunisia,"Flat6Labs Tunisia sits at the heart of the Tunis startup ecosystem, making a big noise for a decade now. It’s more than your typical accelerator; it digs deep into early-stage investment, connecting founders with a vast mentor and investor network. With a special drive for women-led startups and job creation for young people, Flat6Labs is behind standout regional efforts like Ignite Tunisia, designed to break the habit of concentrating opportunities in the capital—giving the next wave of founders from all over the country a genuine shot.","Tunis, Tunisia",Ahmed El Alfi,"2011, In Tunisia 2016",Active,"Technology, Various, including ICT",Approximately 6 startups,Early-stage accelerator & investment platform,tunis@flat6labs.com,https://www.flat6labs.com/location/tunisia/,https://www.linkedin.com/company/flat6labs,71,+216 58 529 161,1,,
Founder Institute Tunis,"If your startup is little more than a wild hunch or a scribble in a notepad, Founder Institute Tunis is worth considering. The accelerator gives early-stage and pre-seed founders a structured route from idea to investment readiness, topped off with mentorship from Tunis’s leading startup names. There’s a global network angle here, too—alumni join the worldwide FI community and bag free entry to upskilling accelerators and the FI Venture Network for their next funding round. If you want the process without the blag, this is a good fit (Arageek’s spotlighted it a few times for founders just getting started).","Tunis, Tunisia",Founder Institute (Parent),2009 (Global),Active,"Technology, sector-agnostic",,Pre-seed,,https://fi.co/,https://www.linkedin.com/company/the-founder-institute,"7,500+ (Global)",,110+ (Global),,
Google for Startups Accelerator Africa,"Google’s pan-African accelerator includes Tunisia in its rollcall, bringing global scale to local founders. Details are a touch fuzzy—sector-wise, it’s tech-first—but there’s little doubt about the network effects on offer. If you want exposure to Google’s reach, resources and the odd coaching session from international mentors, it’s well worth a look, especially if you’re aiming for those hard-to-reach Series A investors later.",Pan-African (inc. Tunisia),Google,2018,Active,Technology,140+ startups,Seed to Series A,,https://startup.google.com/programs/accelerator/africa/,https://www.linkedin.com/showcase/google-for-startups/,,,,,
Impact Partner Tunisia,"With a lens on social impact, Impact Partner Tunisia helps startups and SMEs aiming to solve real social challenges—think employability and sustainability, particularly for women and young people. In recent years, they’ve teamed up with the IFC to boost support for women-led founders outside major business hubs. It’s a pragmatic bet if the mission side of your business is core to your pitch.",Tunisia,Yunus Social Business Tunisia,2014,Active,Social Entrepreneurship,,social impact accelerator,,https://impactpartner.co/,https://tn.linkedin.com/company/impactpartner,,"+216 23 232 232
+216 24 242 242",,,
Incubation Tunis – Labess,"This one’s for founders passionate about environmental impact. Incubation Tunis – Labess backs those with climate-conscious business concepts, even if your team is still just an idea in a WhatsApp group. You’ll need a cofounder or two, but the mission is always green, rooting out ideas set to make a genuine difference for Tunisia’s future.","Tunis, Tunisia",Lab'ess,2012,Active,Social and Environmental Impact,"37,000 TND per project",ideation-stage incubator,contact@labess.tn,https://www.labess.tn/incubation/,https://www.linkedin.com/company/5398325/admin/feed/posts/,,+216 71 287 688,,,
Westerwelle Entrepreneurship Programme Tunis,"Launched in 2022, Westerwelle’s accelerator is for digital and tech-enabled startups itching to move beyond minimum viable product and go after legit investment and international markets. The support feels truly hands-on: workspace access for six months, business and leadership skills, mentorship galore, and a powerful network to help you woo those elusive VC funds. They’ve already helped create hundreds of jobs and notched up some smart fundraising, making the progarmme a very real launchpad for growth-stage founders looking outside Tunisia’s borders.","Tunis, Tunisia",Westerwelle Foundation,2022 (First Cohort),Active,"Digital, Tech-enabled startups",150 startups supported,Growth-stage accelerator,office@westerwelle-foundation.com,https://westerwelle-foundation.com/programs/entrepreneurship-program-tunis/,https://www.linkedin.com/company/startup-haus-tunis,,,,,
Five One Labs,"Iraq’s first proper online agribusiness incubator is leading the charge when it comes to supporting innovative startups in agriculture and food. Born out of the Iraq Response Innovation Lab, this programme is all about reducing the practical headaches faced by local founders—think water waste, rising costs and access to new tech. It’s got its tentacles spread across Baghdad, Tikrit, Kirkuk and beyond, making it a vital piece of the city’s early-stage support puzzle. If you’re one of the lucky startups, you get tailored training, mentoring, business coaching and even a shot at decent seed funding—last time out, five startups each landed $20,000.","Tikrit, Salahadin, Baghdad, Ninawa, Kirkuk, and Diyala, Iraq",Oxfam (via Response Innovation Lab),2019-2020,Active,"Agribusiness, Agriculture, Food Security",16 local startups,Early-stage,,https://www.responseinnovationlab.com/iraq-agbusiness-incubator,,12 projects in first phase,,26,,
Founder Institute Middle East,"Founder Institute has rolled out the red carpet for Baghdad-based entrepreneurs with its famous MENA programme. If your startup is nothing more than a scribble in a notebook, their accelerator helps you sort your cap table, tackle the basics and match you up with top mentors. The format is all virtual, so you can join from a Baghdad coffee shop, and every cohort gets plugged straight into the massive FI Venture Network. They even chuck in free online events—co-founder dating, pitch prep, Q&A with investors—the works.","Various locations across the Middle East, including Iraq",Adeo Ressi (Global Founder),2009 (global),Active,"Technology, Digital Media, Software, Biotech, Cleantech, E-commerce, Advertising, Consumer Electronics","Not publicly disclosed for the Baghdad chapter. Globally, the Founder Institute has over 7,500 alumni companies.",Idea and pre-seed,,https://fi.co/,https://www.linkedin.com/company/founder-inssitute-me,"7,500+ (global)",,"Not publicly disclosed for the Baghdad chapter. Globally, the Founder Institute has facilitated +110 exits.",,
Iraq Venture Partners (IVP),"IVP isn’t your typical accelerator—they’re a bit more VC, but worth a mention. Run by folks like Bassam Falah, they handle a chunky part of the Orange Corners Innovation Fund in Baghdad, and have plans to launch the Gateway Fund in 2025 for those hungry for pre-series A or Series A capital. That means steps from seed funding up to $1 million tickets, plus hands-on help with the subtleties of your funding round or term sheet. If Baghdad’s startup ecosystem is a ladder, IVP’s building a few extra rungs.","Baghdad, Iraq",Bassam Falah (General Partner) and team,2021,Active,"Technology, Innovation, Knowledge Economy",,Early to growth stage,info@iraqventurepartners.com,https://www.iraqventurepartners.com/,https://www.linkedin.com/company/iraq-venture-partners,3,+964 774 992 2444,1-3,,
KAPITA Business Hub,"KAPITA sits at the centre of Baghdad’s entrepreneurial network, widely known for its role in running Orange Corners Baghdad and coordinating with international partners like the Dutch Embassy. They focus on startup skills, workshops, and one-to-one coaching. If you want to get your startup investor-ready, their connections with VC funding bodies, the National Bank of Iraq, and other big names are a strong play. Founders get support across building a pitch deck, troubleshooting their cap table, and accessing funding—no faff, just practical help.","Baghdad, Iraq",Mujahid Waisi (CEO),2019,Active,"SMEs, Entrepreneurship, Research, Investment",,"Seed, Early-stage",,https://www.kapita.com/,https://www.linkedin.com/company/kapitaiq,8,,,,
Orange Corners Baghdad (OCB),"Orange Corners Baghdad, powered by the Dutch Embassy and put into practice by KAPITA, is as close as it gets to gold standard for startup support in the city. It’s a full-stack incubator: physical HQ, hybrid delivery, mentoring, workshops, even community events. They’re serious about levelling up women and young founders, giving everyone a crack at transforming scrappy ideas into real businesses. Their Orange Corners Innovation Fund is one of the largest in Iraq, now at €2.6 million, with support for both pre-seed stars and those eyeing seed funding.","Baghdad, Iraq",Initiative by Netherlands Consulate-General,2019,Active,"Entrepreneurship, Youth Development",2.6 million euro,Early-stage (pre-seed),,https://www.orangecorners.com/,https://www.linkedin.com/company/orangecorners,,,,,
The Station Foundation for Entrepreneurship,"With bags of energy and a proper footprint in three Iraqi cities, The Station is more than a workspace—it’s Iraq’s largest startup hangout for young founders. Events, training and international links are all on offer, with a highlight being their partnership with the Founder Institute. That means cheaper access (25% off) to the world’s largest pre-seed accelerator programme, plus a shortcut to global mentors and angel investors. Plenty of buzzing Instagram posts, too, if that sort of thing floats your boat.","Villa 7, St. 38, Dist. 903
Al-Karadah, Baghdad, Iraq",Mujahed Waisi and Muhannad Munjed,2018,Active,"Entrepreneurship, Co-working Spaces",,Pre-seed to Early-stage,info@the-station.iq,https://the-station.iq/,https://www.linkedin.com/company/thestation,,+964 7816669999,,,
Takween Accelerator,"Set up by the American University of Iraq, Sulaimani, Takween is a lifeline for Iraqi growth-stage tech startups. It’s run entirely online, so founders in Baghdad and anywhere else can dial in for a no-nonsense 12-week sprint—leadership, product dev, finance, and a laser focus on investor readiness. The best part? It’s equity-free seed capital, so you don’t have to hand over a slice of your startup dream. Add in free legal aid, Quickbooks licences and a growing network of investors, and you start to see what all the fuss is about.","Sulaimani, Iraq (accessible to Baghdad entrepreneurs)","American University of Iraq, Sulaimani (AUIS)",2020,Active,"Technology, Entrepreneurship",34 companies,Growth-stage,,http://www.takweenaccelerator.com/,https://www.linkedin.com/company/takween-accelerator,34,,,,
University Technological and Scientific Incubators,"These new university-based incubators are a government-led push to get more research off the shelf and into the market. Based across Baghdad’s top universities, they concentrate on scientific and technology startups fresh from the lab, giving those deep-tech dreamers access to facilities and academic backing. The specifics are still coming together, but expect a pathway for students, researchers and founders to turn clever ideas into viable companies—sometimes all you need is a foot in the door.",Baghdad (at universities),Iraq's Ministry of Higher Education and Scientific Research,2025,Active,Technology and scientific innovation,,Early-stage,,https://incubator.uotechnology.edu.iq/,,,,,,
Emlyon Business School Campus Casablanca Incubator,"Emlyon’s Casablanca incubator is where academic theory meets entrepreneurial hustle. Here, founders get nine months of in-person support, access to a global alumni network, and the chance to work on ideas that have a proper social impact. If you’re fresh out of uni, or you want that mix of research and real-world grit, this one’s worth a look—even if their coffee machine leaves much to be desried.","Casablanca, Morocco",Emlyon Business School,2023,Active,"Entrepreneurship, Business Education, Innovation","Over 7,500 alumni companies globally","Pre-seed, early-stage support",casablanca@em-lyon.com,https://casablanca.em-lyon.com,https://www.linkedin.com/school/emlyon-business-school,,+212 522 36 16 10,,,
Founder Institute Morocco – MENA 2025 Program,"The Founder Institute is a giant in the early-stage startup game, with over 7,500 alumni companies under its belt. Its Casablanca/MENA chapter is ideal for idea-stage founders, offering everything from investor Q&As to hybrid mentoring. They’re big on structured support: 14-week core programs, post-grad Founder Lab modules, and regular events for pitch deck training. The alumni list includes Udemy, which sets the bar high for anyone joining. Their model is equity-based but transparent—handy when you’re juggling your first term sheet.","Casablanca, Morocco",Adeo Ressi (Global Founder),2009 (global),Active,"Technology, Digital Media, Software, Biotech, Cleantech, E-commerce, Advertising, Consumer Electronics","Not publicly disclosed for the Casablanca chapter. Globally, the Founder Institute has over 7,500 alumni companies.",Idea and pre-seed,,https://fi.co/,https://www.linkedin.com/company/founder-inssitute-me,"7,500+ (global)",,"Not publicly disclosed for the Casablanca chapter. Globally, the Founder Institute has facilitated +110 exits.",,
HSEVEN,"Based in Casablanca Marina, HSEVEN wants to scale “world-class African startups” in sectors like MedTech and AgriTech. The team’s known for Disrupt Africa (which gives seed investment for 5–7% equity) and the Rise-Up grant for founders in need of an early push. There’s strong backing from Azur Partners and DGGF, so real VC funding is there for ambitious teams. Hundreds of startups pass through each year, making HSEVEN a true heavyweight in the local ecosystem.","Casablanca Marina, Casablanca, Morocco",Amine Al-Hazzaz,2019,Active,"MedTech, AgriTech, Innovation, Entrepreneurship",,Early-stage,info@hseven.co,https://www.hseven.co/,https://www.linkedin.com/company/h.seven/,200+ annually,,,,
IMPACT Lab,"IMPACT Lab sets out to align startups with the UN Sustainable Development Goals, funnelling grants from the EU and Moroccan government into bright entrepreneurs. Since 2021, over 120 startups have found real support here. If your business solves genuine sustainability or govtech hassles, their hybrid approach might give you the nudge you need.",Morocco (presence in Rabat likely),Salma Kabbaj,2020,Active,"Agritech, Fintech, Healthtech, Smart Cities",Over 250 startups,Pre-seed to Seed,contact@impactlab.africa,https://impactlab.africa/,https://www.linkedin.com/company/impact-lab/,120+ since 2021,,71,,
La Factory,"Want access to a regional network? La Factory is all about collaborations that help startups expand beyond Morocco—Egypt, UAE, and Saudi are all in their playbook. Programmes last six months and come with service perks and investor intros. With over 100 mentors and a sector-agnostic stance, they don’t just talk about cross-border opportunities, they actually deliver.","Casablanca, Morocco",Mehdi Alaoui,2016,Active,"Innovation, Corporate Acceleration, Open Innovation",,Early-stage,,https://lafactory.ma/,,,0522278238,,https://www.facebook.com/profile.php?id=61556073130831,
LaStartupFactory (La Fabrique),"LaStartupFactory (also known as La Fabrique) focuses on matching startups with corporates looking for digital transformation. Their four-month incubation is all about prototypes that can scale, and the €50,000 grant (no equity, surprisingly enough) has brought founders in from as far as Mali and Burkina Faso. Quality mentorship is a major selling point, and the Afric’Innov label means credibility baked in.","Casablanca, Morocco","Mehdi Alaoui, Omar Amrani",2016,Active,"Digital Transformation, Startup Acceleration, Innovation",,Early-stage,"mehdi@lastartupfactory.co
omar@lastartupfactory.co",https://www.lastartupstation.co/,https://www.linkedin.com/company/lastartupfactory/,,"Mehdi : +212 674 781 258
Omar : +212 6 61 23 44 56",,,
Plug and Play Morocco Accelerator,"Plug and Play is as close as you’ll get to Silicon Valley in Morocco. Established in 2024, it’s all about connecting startups with global corporates. The grants are equity-free—up to $50,000—for founders in sectors like retail, smart cities, healthtech and AI. With over 30 partnerships on the books, and an open door to investors, it’s a genuine gateway to international growth for Moroccan startups.","Ben Guerir, Morocco",Plug and Play Tech Center,2021,Active,"Retail, Smart Cities, Healthtech, Education, Sustainability, Fintech, Energy",,pre-seed to Series A and beyond,,https://www.plugandplaytechcenter.com/,https://www.linkedin.com/company/plug-and-play-tech-center,,,,,
Skytrend,"Skytrend, founded by Mohamed Mezian, bets on intensive mentorship to keep startups alive—bragging an 80% survival rate post-acceleration. Their sector-agnostic approach draws in everybody from fintech to deep learning. Pre-seed investments can hit MAD 500,000, perfect if you’re at the “we’ve got the idea, but not the cash” stag.","Casablanca, Morocco",Mohamed Mezian,2022,Active,"Agritech, Fintech, Education, Robotics, AI, Deep Learning, E-Commerce",,Early-stage,,http://www.skytrend.ma,https://www.linkedin.com/company/skytrend/,,,,,
Technopark Casablanca,"Technopark has seen Casablanca’s tech scene grow from “nice idea” to major industry, helping over 3,000 startups since launching in 2001. Its 300+ resident startups today get a shot at labs, early-stage capital and heavyweights like IBM and Amazon as corporate partners. Programs like Boost Up Lab and Star Seed Capital offer support for anyone from fresh grads up to global expansion dreamers.","Casablanca, Morocco",Moroccan Gov’t + private bank consortium,2001,Active,"Information Technology, Renewable Energy, Digital Services",300+ resident startups,Various,contact@technopark.ma,https://www.technopark.ma/,https://www.linkedin.com/company/technopark-maroc,,,,,
212 Founders,"212 Founders stands out as a flagship initiative pushing Moroccan and African founders towards international markets. Their structured programme covers everything from seed funding to scale-up, pairing you with seasoned mentors and industry insiders. The aim: help brilliant, globally-minded startups burst out of Morocco’s borders. If you’re hatching an early-stage idea and seeking access to angel investors or introductions to VCs, this one’s worth a look—they love projects with big ambition and aren’t fussed about sector.",Morocco and France (STATION F),CDG Invest,2019,Active,"Technology, SaaS, E-commerce, Fintech",95+ startups,Seed to Series A,contact@212founders.ma,https://www.212founders.co/,http://linkedin.com/company/14064327,+135 Startups supported in Morocco and France since 2019,,,,
ESSEC Africa Innovation & Entrepreneurship Program,"Don’t let the university badge fool you—ESSEC Africa’s summer programs are quietly building the next generation of Moroccan founders. Over three weeks, undergraduates (and even a bootcamp for 15-18 year olds) take on entrepreneurship, innovation, team building, and a taste of real business hurdles. Actual funding isn’t on the table, but you leave with hard skills, a network, and not a little hunger to start your own company later on. Proper foundational stuff, especially for anyone curious about taking a more educated route into the Rabat startup ecosystem.","Rabat, Morocco (ESSEC Africa Campus)",ESSEC Business School,2017,Active,Innovation and Entrepreneurship,Around 400 entrepreneurial projects annually across all campuses,Pre-seed,essec.campusr@essec.edu,https://www.essec.edu/en/program/innovation-and-entrepreneurship-in-africa/,https://www.linkedin.com/company/essec-business-school,,,,,
Founder Institute Morocco (Rabat),"The global Founder Institute landed in Rabat for its Morocco–MENA 2025 programme, targeting founders at the wobbly idea-and-pre-seed stage. Their ‘FI Core’ accelerator is all about structured sprints, feedback sessions, and making sure you hit those investor milestones. You get plugged directly into a gigantic global venture capital network, and the alumni perks aren’t bad either—free Founder Lab accelerators, mentoring, potential backing in your first funding round, and access to real, global deal flow. Not picky about industry, either. Note: their deadline for this cycle was Jan 2025, but these programmes reappear like clockwork.","Various locations across the Middle East, including Rabat",Adeo Ressi (Global Founder),2009 (global),Active,"Technology, Digital Media, Software, Biotech, Cleantech, E-commerce, Advertising, Consumer Electronics","Not publicly disclosed for the Rabat chapter. Globally, the Founder Institute has over 7,500 alumni companies.",Idea and pre-seed,,https://fi.co/s/rabat,https://www.linkedin.com/company/founder-inssitute-me,"7,500+ (global)",,"Not publicly disclosed for the Rabat chapter. Globally, the Founder Institute has facilitated +110 exits.",,
