Name,Type,Adress,Country,Description,Investment Focus,Target Countries ,Number of Investments,Stage Focus,Ticket size,Pitch process,Backers or partners,Founders,Founder tip,Number of Funds,Year founded,Active since,CB Rank,Open rate,Lead,Legal Status,Portfolio highlights,Phone Number,Contact Email,Website,LinkedIn,Other social Links,Target_Countries_List,profile_text,Target_Countries_Mapped
zamil group,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Zamil Group is a family-owned investment holding company.,"FinTech, Software / SaaS","United Arab Emirates, Saudi Arabia",,"Seed, Series A, Series B",,,,,,,,,,,,,"Lyve Global â€” Lyve reimages logistics through advanced and agile solutions and technology innovations that connect organizations and opportunities.\nNana â€” Nana is an online grocery platform that provides doorstep deliveries of groceries and other home essentials. The company's platform offers a wide assortment of groceries, fruits, and vegetables, cosmetics, electronics, bakery items, and flowers that enables consumers to purchase products online and get them delivered to their homes.Nana wasestablished in 2016 and is headquartered in Riyadh, Ar Riyad, Saudi Arabia.\nTarabut â€” Through the power of open banking, Tarabut is paving the way for an accessible, personalised, and connected financial ecosystem.",,,,,,"['United Arab Emirates', 'Saudi Arabia']","Focus areas: FinTech, SaaS, Banking. Stage focus: Seed, Series A, Series B. Zamil Group is a family-owned investment holding company.. Country: Saudi Arabia. Target countries: United Arab Emirates, Saudi Arabia. Portfolio: Lyve Global â€” Lyve reimages logistics through advanced and agile solutions and technology innovations that connect organizations and opportunities.\nNana â€” Nana is an online grocery platform that provides doorstep deliveries of groceries and other home essentials. The company's platform offers a wide assortment of groceries, fruits, and vegetables, cosmetics, electronics, bakery items, and flowers that enables consumers to purchase products online and get them delivered to their homes.Nana wasestablished in 2016 and is headquartered in Riyadh, Ar Riyad, Saudi Arabia.\nTarabut â€” Through the power of open banking, Tarabut is paving the way for an accessible, personalised, and connected financial ecosystem.","United Arab Emirates, Saudi Arabia"
watar partners,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Watar Partners,"Gaming & Entertainment, EdTech / Education, Food & Beverage / AgriTech","Jordan, Saudi Arabia, United States",,"Series B, Series A, Funding Round",,,,,,,,,,,,,"Abwaab â€” Abwaab is an online learning platform that allows secondary-school students to learn at their own pace, test themselves and get ahead with our expert tutors anytime and anywhere. By offering short, engaging video lessons, visualized learning journeys, continuous assessment and performance analytics, we are changing the way students learn outsidethe classroom.\nWonder â€” Introducing a new kind of home dining experience. Currently available in areas of New Jersey.\nWonder â€” Introducing a new kind of home dining experience. Currently available in areas of New Jersey.",,,,,,"['Jordan', 'Saudi Arabia', 'United States']","Focus areas: EdTech, Gaming, Grocery. Stage focus: Series B, Series A, Funding Round. Watar Partners. Country: Saudi Arabia. Target countries: Jordan, Saudi Arabia, United States. Portfolio: Abwaab â€” Abwaab is an online learning platform that allows secondary-school students to learn at their own pace, test themselves and get ahead with our expert tutors anytime and anywhere. By offering short, engaging video lessons, visualized learning journeys, continuous assessment and performance analytics, we are changing the way students learn outsidethe classroom.\nWonder â€” Introducing a new kind of home dining experience. Currently available in areas of New Jersey.\nWonder â€” Introducing a new kind of home dining experience. Currently available in areas of New Jersey.","Saudi Arabia, Jordan"
ace investment partners ltd.,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,ACE Investment Partner is a Geneva based investor with a focus on early & venture opportunities.,"Software / SaaS, Energy & CleanTech","Switzerland, United States, Saudi Arabia",,"Seed, Funding Round, Series A",,,,,,,,,,,,,"Enuu â€” Connected Epods and Ecargos.\nSkydweller â€” Skydweller is a US-Spanish aerospace company developing solar powered aircraft solutions capable of achieving perpetual flight with the highestâ€”and most meaningfulâ€”payload capacity. Utilizing technology based upon the longest continuous solar powered flight program in history, our fast-growing startup is developing a new class of unmanned aircraft,providing the persistence of geosynchronous satellites with the powerful sensing capabilities and range of a large, airborne platform.\nNatufia â€” At Natufia, we believe you can transform your life by growing food in your kitchen. Health and wellness is a lifestyle and the Natufia Hydroponic Home Kitchen Garden was created to offer families a holistic, forward-visioning solution to healthy living. With a team comprised of technologists, architects, botanists and chefs, Natufia has risen tothe forefront of technological development, making it possible to grow food to scale all of your familyâ€™s produce right at home. The plants and herbs are available to harvest immediately for cooking and eating, giving life to your diet, and transforming the way you relate to your food.",,,,,,"['Switzerland', 'United States', 'Saudi Arabia']","Focus areas: Software, Renewable Energy, Collaboration. Stage focus: Seed, Funding Round, Series A. ACE Investment Partner is a Geneva based investor with a focus on early & venture opportunities.. Country: Saudi Arabia. Target countries: Switzerland, United States, Saudi Arabia. Portfolio: Enuu â€” Connected Epods and Ecargos.\nSkydweller â€” Skydweller is a US-Spanish aerospace company developing solar powered aircraft solutions capable of achieving perpetual flight with the highestâ€”and most meaningfulâ€”payload capacity. Utilizing technology based upon the longest continuous solar powered flight program in history, our fast-growing startup is developing a new class of unmanned aircraft,providing the persistence of geosynchronous satellites with the powerful sensing capabilities and range of a large, airborne platform.\nNatufia â€” At Natufia, we believe you can transform your life by growing food in your kitchen. Health and wellness is a lifestyle and the Natufia Hydroponic Home Kitchen Garden was created to offer families a holistic, forward-visioning solution to healthy living. With a team comprised of technologists, architects, botanists and chefs, Natufia has risen tothe forefront of technological development, making it possible to grow food to scale all of your familyâ€™s produce right at home. The plants and herbs are available to harvest immediately for cooking and eating, giving life to your diet, and transforming the way you relate to your food.",Saudi Arabia
derayah financial,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Derayah Financial is a financial services firm that has built and operates the first mutual fund supermarket in Saudi Arabia.,"E-Commerce & Retail, Manufacturing & Industry, Food & Beverage / AgriTech","Saudi Arabia, United Arab Emirates",,"Seed, Series A, Pre-Seed",,,,,,,,,,,,,"Eat App â€” Powerful restaurant reservation and guest management system. Flexible enough to use at both small and large restaurants. Sign up today. It's free!\nSary â€” Sary is a B2B marketplace for wholesale, groceries, stores, offices, cafes, restaurants, and hotels in Saudi Arabia and Egypt. Shop for your business from a wide range of suppliers and distributors in one place. Get the best wholesale market prices, various items, great sales deals, offers, and discounts, fast delivery, order tracking, online payment, and cash on delivery with one click\nSpeero â€” Speero is an automotive spare part market place.",,,,,,"['Saudi Arabia', 'United Arab Emirates']","Focus areas: Marketplace, Information Technology, Food and Beverage. Stage focus: Seed, Series A, Pre-Seed. Derayah Financial is a financial services firm that has built and operates the first mutual fund supermarket in Saudi Arabia.. Country: Saudi Arabia. Target countries: Saudi Arabia, United Arab Emirates. Portfolio: Eat App â€” Powerful restaurant reservation and guest management system. Flexible enough to use at both small and large restaurants. Sign up today. It's free!\nSary â€” Sary is a B2B marketplace for wholesale, groceries, stores, offices, cafes, restaurants, and hotels in Saudi Arabia and Egypt. Shop for your business from a wide range of suppliers and distributors in one place. Get the best wholesale market prices, various items, great sales deals, offers, and discounts, fast delivery, order tracking, online payment, and cash on delivery with one click\nSpeero â€” Speero is an automotive spare part market place.","United Arab Emirates, Saudi Arabia"
al nafea,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Al Nafea,"E-Commerce & Retail, Software / SaaS",Saudi Arabia,,Seed,,,,,,,,,,,,,"Omniful â€” Omniful offers a modular platform to replace legacy systems, simplifying supply chain, retail, and logistics management.",,,,,,['Saudi Arabia'],"Focus areas: SaaS, Software, E-Commerce. Stage focus: Seed. Al Nafea. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Omniful â€” Omniful offers a modular platform to replace legacy systems, simplifying supply chain, retail, and logistics management.",Saudi Arabia
jawla investments,VC Fund,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Jawla investments is an investment company.,FinTech,Saudi Arabia,,Seed,,,,,,,,,,,,,Tygo â€” Tygo is the telecommunications services and marketing platform.,,,,,,['Saudi Arabia'],Focus areas: Telecommunications. Stage focus: Seed. Jawla investments is an investment company.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Tygo â€” Tygo is the telecommunications services and marketing platform.,Saudi Arabia
sakani ventures,VC Fund,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Sakani Ventures invests in emerging financial technology companies in Saudi Arabia and the Middle East and North Africa region.,AI / ML,Saudi Arabia,,Seed,,,,,,,,,,,,,"Quantum Platform â€” Quantum | B2B platform to acquire new customers, use our marketing & consumer behavior analysis tools to reach your exact target audience right to their doorsteps!",,,,,,['Saudi Arabia'],"Focus areas: Data Mining, Text Analytics, Computer Vision. Stage focus: Seed. Sakani Ventures invests in emerging financial technology companies in Saudi Arabia and the Middle East and North Africa region.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Quantum Platform â€” Quantum | B2B platform to acquire new customers, use our marketing & consumer behavior analysis tools to reach your exact target audience right to their doorsteps!",Saudi Arabia
al tuwaijri fund,VC Fund,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Al Tuwaijri Fund is a venture capital fund.,"FinTech, Logistics & Supply Chain",Egypt,,Seed,,,,,,,,,,,,,"SIDEUP â€” SIDEUP provides you with all the necessary tools to grow your business through a hassle-free experience from local and global logistics support, storage services, and innovative and real-time dashboards.\nPenny Software â€” Simple. Spending. Software.As above. But, more specifically, penny is a cloud-based Procure-To-Pay system. penny helps you digitize and manage your full procurement cycle from request to approval. Manage RFQs to vendors, compare quotations, send POs and even payment. penny was designed to make things easy and consolidate all of yourorganizationâ€™s spending needs into one intelligent system",,,,,,['Egypt'],"Focus areas: Payments, Shipping, Logistics. Stage focus: Seed. Al Tuwaijri Fund is a venture capital fund.. Country: Saudi Arabia. Target countries: Egypt. Portfolio: SIDEUP â€” SIDEUP provides you with all the necessary tools to grow your business through a hassle-free experience from local and global logistics support, storage services, and innovative and real-time dashboards.\nPenny Software â€” Simple. Spending. Software.As above. But, more specifically, penny is a cloud-based Procure-To-Pay system. penny helps you digitize and manage your full procurement cycle from request to approval. Manage RFQs to vendors, compare quotations, send POs and even payment. penny was designed to make things easy and consolidate all of yourorganizationâ€™s spending needs into one intelligent system",Egypt
vest investment,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Saudi Arabia,VEST Investment operates as an investment firm.,AI / ML,Saudi Arabia,,Pre-Seed,,,,,,,,,,,,,WeDeliver â€” weDeliver provides the best logistics and last-mile delivery services for eCommerce businesses in Saudi Arabia and other emerging markets.,,,,,,['Saudi Arabia'],"Focus areas: B2B, Delivery Service, Predictive Analytics. Stage focus: Pre-Seed. VEST Investment operates as an investment firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: WeDeliver â€” weDeliver provides the best logistics and last-mile delivery services for eCommerce businesses in Saudi Arabia and other emerging markets.",Saudi Arabia
mutasami family fund,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Saudi Arabia,Mutasami Family Fund,AI / ML,Saudi Arabia,,Pre-Seed,,,,,,,,,,,,,WeDeliver â€” weDeliver provides the best logistics and last-mile delivery services for eCommerce businesses in Saudi Arabia and other emerging markets.,,,,,,['Saudi Arabia'],"Focus areas: B2B, Delivery Service, Predictive Analytics. Stage focus: Pre-Seed. Mutasami Family Fund. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: WeDeliver â€” weDeliver provides the best logistics and last-mile delivery services for eCommerce businesses in Saudi Arabia and other emerging markets.",Saudi Arabia
salasel alemdad,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Saudi Arabia,Salasel Alemdad operates as a logistics company.,AI / ML,Saudi Arabia,,Pre-Seed,,,,,,,,,,,,,WeDeliver â€” weDeliver provides the best logistics and last-mile delivery services for eCommerce businesses in Saudi Arabia and other emerging markets.,,,,,,['Saudi Arabia'],"Focus areas: B2B, Delivery Service, Predictive Analytics. Stage focus: Pre-Seed. Salasel Alemdad operates as a logistics company.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: WeDeliver â€” weDeliver provides the best logistics and last-mile delivery services for eCommerce businesses in Saudi Arabia and other emerging markets.",Saudi Arabia
nufud wealth international,VC Fund,"Khobar, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Nufud Wealth International is a investment firm.,"FinTech, Manufacturing & Industry",Saudi Arabia,,Seed,,,,,,,,,,,,,"EdfaPay â€” Innovative and modern payment solutions tailored to suit the needs of businesses of all sizes and types, allowing for effortless growth management through a",,,,,,['Saudi Arabia'],"Focus areas: Payments, Financial Services, Information Technology. Stage focus: Seed. Nufud Wealth International is a investment firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: EdfaPay â€” Innovative and modern payment solutions tailored to suit the needs of businesses of all sizes and types, allowing for effortless growth management through a",Saudi Arabia
yasser al-ghamdi,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Yasser Al-Ghamdi,"FinTech, Manufacturing & Industry",Saudi Arabia,,"Angel, Pre-Seed",,,,,,,,,,,,,"Nqoodlet â€” NQOODLET is an electronic platform targeting SMEs to manage their expenses, purchases through the credit cards given to the employees.\nGarage â€” Garage provides on-demand car maintenance services, enabling customers to book these services through its mobile app and receive them at their doorstep.",,,,,,['Saudi Arabia'],"Focus areas: FinTech, Automotive. Stage focus: Angel, Pre-Seed. Yasser Al-Ghamdi. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Nqoodlet â€” NQOODLET is an electronic platform targeting SMEs to manage their expenses, purchases through the credit cards given to the employees.\nGarage â€” Garage provides on-demand car maintenance services, enabling customers to book these services through its mobile app and receive them at their doorstep.",Saudi Arabia
sarh fund,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Sarh Fund is a venture capital investment firm.,"Logistics & Supply Chain, Manufacturing & Industry, Software / SaaS",Saudi Arabia,,Seed,,,,,,,,,,,,,Carefer â€” Carefer is a cloud-based management software that provides automated operations to increase fleet maintenance efficiency.,,,,,,['Saudi Arabia'],"Focus areas: Software, Automotive, Fleet Management. Stage focus: Seed. Sarh Fund is a venture capital investment firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Carefer â€” Carefer is a cloud-based management software that provides automated operations to increase fleet maintenance efficiency.",Saudi Arabia
sultan holdings,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,"Sultan Holdings invest in the field of commercial, retail, tourism, and residential projects.",Logistics & Supply Chain,Saudi Arabia,,Seed,,,,,,,,,,,,,"BARQ â€” BARQ enables bullet delivery for any business. From e-commerce to food, e-groceries and various sectors, BARQ utilizes its state-of-the-art delivery technologies to deliver orders as fast as 15 minutes up to same day delivery service.BARQ converts retail outlets to micro-fulfilment centers/dispatching hubs making delivery faster &easier. Once a customer places an order through the business platform, order gets fulfilled by the closest retail outlet and delivered to the customer once ready for pick up (bullet delivery).BARQ also serves warehouses and fulfillment centers with several delivery options, 4hrs up to same day or next day, depending on the businessâ€™ need. While restaurants and food aggregators enjoy 30-45 minute delivery service & paying a delivery fee ONLY.\nNana â€” Nana is an online grocery platform that provides doorstep deliveries of groceries and other home essentials. The company's platform offers a wide assortment of groceries, fruits, and vegetables, cosmetics, electronics, bakery items, and flowers that enables consumers to purchase products online and get them delivered to their homes.Nana wasestablished in 2016 and is headquartered in Riyadh, Ar Riyad, Saudi Arabia.",,,,,,['Saudi Arabia'],"Focus areas: Logistics. Stage focus: Seed. Sultan Holdings invest in the field of commercial, retail, tourism, and residential projects.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: BARQ â€” BARQ enables bullet delivery for any business. From e-commerce to food, e-groceries and various sectors, BARQ utilizes its state-of-the-art delivery technologies to deliver orders as fast as 15 minutes up to same day delivery service.BARQ converts retail outlets to micro-fulfilment centers/dispatching hubs making delivery faster &easier. Once a customer places an order through the business platform, order gets fulfilled by the closest retail outlet and delivered to the customer once ready for pick up (bullet delivery).BARQ also serves warehouses and fulfillment centers with several delivery options, 4hrs up to same day or next day, depending on the businessâ€™ need. While restaurants and food aggregators enjoy 30-45 minute delivery service & paying a delivery fee ONLY.\nNana â€” Nana is an online grocery platform that provides doorstep deliveries of groceries and other home essentials. The company's platform offers a wide assortment of groceries, fruits, and vegetables, cosmetics, electronics, bakery items, and flowers that enables consumers to purchase products online and get them delivered to their homes.Nana wasestablished in 2016 and is headquartered in Riyadh, Ar Riyad, Saudi Arabia.",Saudi Arabia
